300MHz Spectrometer, CHL-D
Frequency (Hz),Intensity
4040.6375305,-56.9
4040.34521165,-227.3
4040.0528928,108.9
4039.76057395,-63.9
4039.4682551,-192.6
4039.17593626,-14.5
4038.88361741,87.5
4038.59129856,-234.8
4038.29897971,-72.5
4038.00666086,-160.3
4037.71434202,-440.5
4037.42202317,-431.1
4037.12970432,-125.4
4036.83738547,-76.3
4036.54506662,-261.4
4036.25274778,-264.0
4035.96042893,-295.4
4035.66811008,120.0
4035.37579123,138.5
4035.08347238,-248.6
4034.79115354,-73.0
4034.49883469,-196.9
4034.20651584,44.5
4033.91419699,-301.8
4033.62187814,-165.4
4033.3295593,56.4
4033.03724045,241.0
4032.7449216,320.8
4032.45260275,55.9
4032.1602839,-10.4
4031.86796506,47.1
4031.57564621,-234.0
4031.28332736,-84.9
4030.99100851,-146.8
4030.69868966,-42.4
4030.40637082,172.5
4030.11405197,363.5
4029.82173312,43.4
4029.52941427,-6.4
4029.23709542,315.9
4028.94477658,296.9
4028.65245773,162.6
4028.36013888,-46.0
4028.06782003,26.8
4027.77550118,97.8
4027.48318234,130.0
4027.19086349,-364.1
4026.89854464,-636.0
4026.60622579,-503.8
4026.31390694,-549.0
4026.0215881,-268.5
4025.72926925,-11.4
4025.4369504,95.1
4025.14463155,-4.9
4024.8523127,-19.0
4024.55999386,-41.8
4024.26767501,210.0
4023.97535616,-292.8
4023.68303731,31.3
4023.39071846,-236.5
4023.09839962,-261.9
4022.80608077,-263.1
4022.51376192,-71.4
4022.22144307,-216.6
4021.92912422,-164.0
4021.63680538,-159.9
4021.34448653,-24.8
4021.05216768,2.0
4020.75984883,44.4
4020.46752998,-24.1
4020.17521114,78.6
4019.88289229,100.4
4019.59057344,179.0
4019.29825459,284.6
4019.00593574,315.0
4018.7136169,60.1
4018.42129805,-110.1
4018.1289792,116.1
4017.83666035,-135.5
4017.5443415,-160.4
4017.25202266,0.8
4016.95970381,163.6
4016.66738496,110.1
4016.37506611,130.1
4016.08274726,9.8
4015.79042842,-144.6
4015.49810957,26.1
4015.20579072,2.4
4014.91347187,-442.5
4014.62115302,-296.4
4014.32883418,-228.8
4014.03651533,37.4
4013.74419648,-85.3
4013.45187763,-207.1
4013.15955878,-36.6
4012.86723994,-486.8
4012.57492109,-45.0
4012.28260224,366.4
4011.99028339,231.4
4011.69796454,-237.6
4011.4056457,-240.8
4011.11332685,48.9
4010.821008,-142.8
4010.52868915,15.4
4010.2363703,86.0
4009.94405146,-41.9
4009.65173261,-299.4
4009.35941376,-208.5
4009.06709491,-64.9
4008.77477606,-163.8
4008.48245722,-66.1
4008.19013837,29.6
4007.89781952,11.0
4007.60550067,-54.3
4007.31318182,9.6
4007.02086298,20.3
4006.72854413,93.0
4006.43622528,168.8
4006.14390643,-21.8
4005.85158758,78.8
4005.55926874,-48.9
4005.26694989,-39.4
4004.97463104,-491.6
4004.68231219,-310.5
4004.38999334,-26.5
4004.0976745,117.0
4003.80535565,-108.6
4003.5130368,77.1
4003.22071795,103.0
4002.9283991,-32.5
4002.63608026,-315.5
4002.34376141,-98.9
4002.05144256,111.9
4001.75912371,244.6
4001.46680486,-81.8
4001.17448602,-54.4
4000.88216717,-116.5
4000.58984832,23.6
4000.29752947,240.4
4000.00521062,314.4
3999.71289178,-131.5
3999.42057293,291.8
3999.12825408,164.5
3998.83593523,-42.9
3998.54361638,55.6
3998.25129754,239.1
3997.95897869,315.9
3997.66665984,547.6
3997.37434099,163.9
3997.08202214,31.9
3996.7897033,-156.5
3996.49738445,-22.0
3996.2050656,-128.9
3995.91274675,120.1
3995.6204279,-108.4
3995.32810906,-126.9
3995.03579021,14.4
3994.74347136,50.0
3994.45115251,-165.3
3994.15883366,-379.0
3993.86651482,-62.3
3993.57419597,10.1
3993.28187712,311.4
3992.98955827,258.0
3992.69723942,292.5
3992.40492058,171.8
3992.11260173,45.5
3991.82028288,-85.3
3991.52796403,327.3
3991.23564518,144.0
3990.94332634,80.8
3990.65100749,-140.1
3990.35868864,145.1
3990.06636979,64.0
3989.77405094,-153.9
3989.4817321,-79.3
3989.18941325,-238.1
3988.8970944,48.3
3988.60477555,208.8
3988.3124567,30.5
3988.02013786,-116.0
3987.72781901,-0.9
3987.43550016,107.5
3987.14318131,253.0
3986.85086246,-62.4
3986.55854362,36.8
3986.26622477,5.9
3985.97390592,30.1
3985.68158707,-93.3
3985.38926822,-285.8
3985.09694938,-124.4
3984.80463053,244.6
3984.51231168,290.4
3984.21999283,321.0
3983.92767398,307.4
3983.63535514,316.0
3983.34303629,134.8
3983.05071744,-34.5
3982.75839859,429.6
3982.46607974,-54.4
3982.1737609,-236.4
3981.88144205,-61.5
3981.5891232,53.1
3981.29680435,-64.3
3981.0044855,-295.1
3980.71216666,-73.3
3980.41984781,176.9
3980.12752896,-137.4
3979.83521011,-22.4
3979.54289126,61.3
3979.25057242,139.0
3978.95825357,-53.4
3978.66593472,-158.1
3978.37361587,-292.1
3978.08129702,-69.5
3977.78897818,291.3
3977.49665933,320.0
3977.20434048,14.9
3976.91202163,-451.9
3976.61970278,-353.9
3976.32738394,-306.8
3976.03506509,-552.9
3975.74274624,-54.1
3975.45042739,-152.3
3975.15810854,-39.1
3974.8657897,-144.6
3974.57347085,-569.4
3974.281152,-118.0
3973.98883315,-246.9
3973.6965143,-117.6
3973.40419546,-124.1
3973.11187661,-45.3
3972.81955776,-104.4
3972.52723891,-43.6
3972.23492006,-235.9
3971.94260122,-75.5
3971.65028237,-250.6
3971.35796352,-270.6
3971.06564467,-114.1
3970.77332582,51.5
3970.48100698,35.1
3970.18868813,-178.6
3969.89636928,15.1
3969.60405043,250.8
3969.31173158,-9.9
3969.01941274,-29.8
3968.72709389,-29.6
3968.43477504,-85.1
3968.14245619,-296.9
3967.85013734,-445.3
3967.5578185,-13.0
3967.26549965,61.4
3966.9731808,-92.8
3966.68086195,-233.5
3966.3885431,-208.6
3966.09622426,-13.0
3965.80390541,89.0
3965.51158656,-114.9
3965.21926771,-240.6
3964.92694886,-34.4
3964.63463002,-282.4
3964.34231117,-100.5
3964.04999232,-206.4
3963.75767347,-31.4
3963.46535462,-19.3
3963.17303578,200.5
3962.88071693,208.1
3962.58839808,316.3
3962.29607923,96.9
3962.00376038,85.3
3961.71144154,110.9
3961.41912269,-80.8
3961.12680384,-211.3
3960.83448499,-276.0
3960.54216614,-281.4
3960.2498473,-216.6
3959.95752845,-230.5
3959.6652096,-312.9
3959.37289075,-340.5
3959.0805719,-84.3
3958.78825306,64.8
3958.49593421,-249.9
3958.20361536,54.6
3957.91129651,-50.4
3957.61897766,168.6
3957.32665882,213.6
3957.03433997,-61.5
3956.74202112,-45.1
3956.44970227,201.6
3956.15738342,132.1
3955.86506458,151.3
3955.57274573,-145.8
3955.28042688,-167.5
3954.98810803,-209.5
3954.69578918,-42.4
3954.40347034,56.5
3954.11115149,218.0
3953.81883264,149.8
3953.52651379,-173.6
3953.23419494,85.1
3952.9418761,-54.8
3952.64955725,-181.1
3952.3572384,-27.1
3952.06491955,-144.0
3951.7726007,116.0
3951.48028186,-304.1
3951.18796301,199.8
3950.89564416,-118.3
3950.60332531,56.6
3950.31100646,-99.0
3950.01868762,-70.3
3949.72636877,-176.8
3949.43404992,-491.8
3949.14173107,-485.4
3948.84941222,-337.4
3948.55709338,-181.5
3948.26477453,-158.6
3947.97245568,-269.6
3947.68013683,-322.0
3947.38781798,-139.9
3947.09549914,-43.3
3946.80318029,-147.4
3946.51086144,193.5
3946.21854259,292.8
3945.92622374,-25.5
3945.6339049,-417.4
3945.34158605,-335.6
3945.0492672,-63.1
3944.75694835,2.6
3944.4646295,-24.5
3944.17231066,-2.6
3943.87999181,271.9
3943.58767296,355.6
3943.29535411,440.8
3943.00303526,144.0
3942.71071642,220.8
3942.41839757,70.5
3942.12607872,338.3
3941.83375987,-6.9
3941.54144102,108.6
3941.24912218,144.4
3940.95680333,90.3
3940.66448448,201.0
3940.37216563,-55.3
3940.07984678,-46.1
3939.78752794,-178.8
3939.49520909,-225.9
3939.20289024,-514.4
3938.91057139,230.6
3938.61825254,-9.0
3938.3259337,-2.8
3938.03361485,-224.8
3937.741296,-86.9
3937.44897715,-67.0
3937.1566583,219.0
3936.86433946,1.5
3936.57202061,49.1
3936.27970176,341.8
3935.98738291,119.6
3935.69506406,-181.4
3935.40274522,-148.3
3935.11042637,-163.4
3934.81810752,-49.3
3934.52578867,-37.8
3934.23346982,-144.8
3933.94115098,-261.5
3933.64883213,-129.5
3933.35651328,-73.3
3933.06419443,212.0
3932.77187558,139.8
3932.47955674,113.5
3932.18723789,382.4
3931.89491904,325.9
3931.60260019,462.1
3931.31028134,198.9
3931.0179625,100.3
3930.72564365,-274.5
3930.4333248,-227.1
3930.14100595,-418.1
3929.8486871,-276.6
3929.55636826,-250.9
3929.26404941,-61.4
3928.97173056,51.8
3928.67941171,319.9
3928.38709286,286.1
3928.09477402,303.1
3927.80245517,225.0
3927.51013632,224.3
3927.21781747,151.0
3926.92549862,257.4
3926.63317978,33.5
3926.34086093,80.4
3926.04854208,4.0
3925.75622323,23.3
3925.46390438,83.8
3925.17158554,176.4
3924.87926669,293.8
3924.58694784,440.3
3924.29462899,172.9
3924.00231014,0.8
3923.7099913,-77.6
3923.41767245,100.5
3923.1253536,230.8
3922.83303475,356.9
3922.5407159,101.3
3922.24839706,-177.9
